w,DC,pitch,k
479.9915,0.43630666,458.72592,6274201.0
500.88785,0.69608194,462.45056,6273422.0
467.9893,0.74080986,459.00546,6264234.5
453.50372,0.49777994,447.7617,6261828.5
581.54065,0.67561966,453.59354,6271511.0
489.73697,0.45494986,434.69574,6272235.0
510.248,0.44584376,415.5652,6273944.5
453.01047,0.4726513,463.1479,6272410.5
623.34393,0.5553454,487.90887,6264046.5
514.07544,0.65593964,471.06213,6278677.0
429.0678,0.55005836,449.67792,6276896.0
456.95303,0.42826155,476.19113,6267725.5
580.20483,0.6259213,465.93054,6281992.5
466.88586,0.7021537,467.43134,6266268.0
449.49213,0.44359398,476.89075,6288672.0
480.71878,0.4369294,457.33752,6275178.5
460.4901,0.4954847,443.80222,6286239.0
463.02692,0.49511108,443.49884,6303150.0
455.53537,0.44549528,471.68176,6267180.5
509.9944,0.41755262,451.32202,6313604.0
522.9838,0.6156781,482.10864,6261868.5
487.00174,0.42806992,456.47678,6263360.5
434.91296,0.31030345,524.82367,6287266.5
497.8793,0.37400672,476.9643,6264227.0
413.40875,0.5725574,499.05466,6303250.5
525.53314,0.5975625,487.64633,6260875.5
508.39447,0.32998052,492.8207,6267622.0
529.6841,0.574335,495.68585,6257096.5
483.9952,0.6997489,464.29587,6277114.5
504.98413,0.30644214,505.64066,6297941.5
470.19333,0.470031,445.47092,6260385.5
577.2788,0.689182,451.5745,6264696.0
438.4197,0.53361297,440.75885,6257026.5
438.1214,0.57504886,484.6753,6274973.0
495.7546,0.4324241,448.31332,6280106.5
518.303,0.6489438,471.71313,6286165.5
394.28857,0.55958766,494.61212,6286302.5
469.7065,0.469306,447.87375,6267365.0
522.18835,0.35404047,478.74252,6278705.5
527.93604,0.43303004,422.27048,6312794.0
486.1122,0.41720715,463.07565,6271512.5
502.97794,0.44613564,434.5011,6306758.0
494.992,0.70496565,461.2016,6275939.0
514.3838,0.4019021,457.4386,6296333.5
555.66644,0.42258787,373.33823,6261468.5
513.22876,0.6572693,470.49857,6278152.5
469.98157,0.46389037,451.5548,6268519.5
517.1031,0.65424347,470.29477,6274623.0
459.33698,0.48008555,451.99573,6263500.5
414.79813,0.56958693,505.37253,6322657.5
459.75204,0.48961908,447.34152,6278168.5
411.49692,0.57811105,487.67856,6294633.0
447.52167,0.67909104,476.86417,6272263.0
440.4997,0.5268171,452.91263,6299224.0
479.75537,0.44671202,457.09027,6311363.5
584.9295,0.7204151,441.7393,6277334.5
478.93738,0.44362953,455.47726,6277480.5
525.9773,0.3364312,487.33566,6318962.5
580.1536,0.7863485,429.6646,6267178.0
595.8133,0.6346571,460.83725,6293634.5
457.22272,0.6901186,471.84427,6294185.0
498.91553,0.45532584,419.64767,6265662.5
502.39743,0.67290485,467.6318,6260076.5
481.52866,0.46983173,435.54453,6278949.0
567.53625,0.6883433,452.8568,6264039.5
487.55585,0.42016536,462.0998,6290645.5
581.43256,0.74312454,438.6964,6265010.5
451.46323,0.3002216,524.26697,6287865.5
494.33386,0.4580168,426.95914,6278198.0
509.26822,0.43373346,432.24786,6266380.5
452.3945,0.44336623,474.03046,6259476.5
472.68802,0.4798112,434.35437,6262890.0
370.91092,0.52106005,513.8652,6265338.5
486.32736,0.4383228,452.18243,6270133.0
492.24042,0.43972665,446.00256,6266137.0
594.7442,0.36972627,414.95044,6274968.5
475.35568,0.48891732,429.4169,6300190.0
514.3801,0.35920617,479.5519,6293669.5
577.9236,0.37598333,425.8442,6261393.5
471.8311,0.46664482,447.4884,6279029.0
443.8379,0.715967,470.10648,6264394.0
443.8351,0.56710625,485.63644,6277245.5
388.96356,0.5587257,502.48392,6301493.5
586.41394,0.42119178,324.8225,6280777.5
549.6152,0.43227425,394.3011,6327950.0
446.9896,0.6980192,472.54138,6270430.0
495.1413,0.67903477,467.46152,6269690.5
420.55573,0.5262086,472.1499,6271732.5
445.13123,0.49320787,459.706,6269071.0
504.59085,0.4317563,438.68445,6267632.5
611.98755,0.590987,472.07614,6289984.5
493.8301,0.43102,451.75696,6289670.0
540.5279,0.6714558,461.682,6257811.0
595.18225,0.38598478,404.2017,6333708.0
463.30487,0.75659716,457.09274,6281988.5
504.75885,0.43484685,436.7958,6276489.0
448.67758,0.7090845,470.1586,6280988.5
474.6019,0.4811583,441.32996,6311475.0
578.9672,0.78568363,430.05115,6263305.5
558.9996,0.41310874,390.4112,6273238.5
582.35364,0.703992,447.1165,6260461.5
560.6325,0.5552953,497.12988,6257972.0
453.6015,0.49773368,450.98303,6279674.5
609.5095,0.5568135,488.8921,6266106.0
556.4961,0.39219132,433.53986,6276870.5
488.44336,0.42760977,455.8363,6260888.5
408.48267,0.34097347,525.7141,6271296.5
494.14563,0.40848088,463.09277,6264057.0
451.94586,0.5160215,440.4534,6290525.5
572.80695,0.3996362,401.69647,6291840.0
524.49164,0.43600756,424.35745,6311551.0
505.43988,0.40138867,462.45297,6308871.0
455.15256,0.48183987,455.74115,6265425.0
408.031,0.5721846,484.7838,6295963.5
440.21378,0.5175133,452.35016,6269020.0
585.9433,0.690568,448.40155,6263683.0
418.09378,0.52921844,472.88766,6260030.0
474.20203,0.46160674,446.52383,6257296.0
454.20044,0.47604072,458.95877,6261201.0
453.49228,0.6999883,471.27264,6273356.5
522.04034,0.43579924,408.99655,6265396.5
466.53833,0.44412124,464.78058,6269073.5
521.51404,0.35024124,481.7856,6312053.0
476.56113,0.4713508,435.2636,6261499.5
539.9833,0.62003225,476.1591,6260000.5
418.20398,0.5525202,466.48273,6263782.0
508.2425,0.44684133,418.60785,6268358.0
522.6872,0.6160279,482.39362,6272594.5
504.55734,0.44234675,425.19504,6259350.0
483.30463,0.4517745,446.19467,6270725.0
467.51154,0.47265798,448.5497,6272376.0
540.15,0.67839897,460.13757,6269281.0
448.57315,0.47584674,465.14127,6267098.5
588.6148,0.554421,494.72766,6261902.5
509.80682,0.39937007,461.21317,6301220.5
465.85867,0.48793936,435.18832,6258249.5
589.1716,0.5633531,491.77188,6259557.5
462.9997,0.47424206,452.6396,6269818.0
420.3137,0.56781596,501.67883,6296632.5
430.60623,0.47567695,477.58603,6260644.5
457.30817,0.46349996,463.40738,6265826.5
510.6746,0.38506824,468.3305,6300733.5
424.14294,0.52484787,468.06296,6264063.0
516.9409,0.33977708,487.203,6295530.0
451.13385,0.49844426,449.17963,6260013.5
507.09103,0.4057544,458.73163,6299746.0
405.88004,0.5639153,491.02478,6301663.0
440.48148,0.53116566,441.26907,6259066.0
466.3509,0.4459771,463.0128,6260914.0
574.79755,0.40934056,369.9368,6274938.5
532.85016,0.64586383,469.41064,6261001.5
415.35898,0.5308412,475.64044,6276879.0
517.4658,0.34085426,486.543,6295987.5
477.5105,0.69949627,465.82666,6263402.5
461.49713,0.4176598,477.10648,6259395.5
458.74854,0.49173668,451.072,6302487.5
500.542,0.68465996,464.89398,6289640.0
423.9676,0.29627022,534.2166,6309832.0
421.35834,0.5678442,492.1663,6301170.0
470.59515,0.6965028,467.77982,6269668.0
517.88153,0.439351,415.7178,6279857.0
444.9096,0.32034886,517.3767,6277427.5
414.2036,0.57080334,486.68768,6297606.5
452.66034,0.49614057,450.47308,6264397.0
521.2129,0.6351726,476.23367,6278531.0
584.06067,0.41524613,336.4974,6264321.5
511.97208,0.4047097,456.65897,6299537.0
490.42215,0.41764912,462.6482,6297456.5
454.1173,0.4767402,458.76334,6263880.0
451.38544,0.41456822,484.2077,6275191.5
457.52347,0.45552725,467.016,6280425.0
501.86133,0.41493726,456.37106,6297460.0
517.56824,0.4090805,445.92767,6260891.0
439.74957,0.6798596,478.4257,6308482.5
472.2895,0.48022074,432.2796,6255643.0
453.62875,0.50272655,445.8623,6272743.5
480.7152,0.4784856,436.41705,6320353.5
497.97122,0.45698437,426.3266,6295421.0
457.73044,0.45985663,464.40735,6263398.0
581.73987,0.732818,441.20648,6274131.5
566.0406,0.6819485,454.91672,6263193.0
521.7798,0.3366148,487.91983,6298289.5
486.4284,0.43886963,451.7097,6274664.5
439.83087,0.3119052,523.93243,6301476.5
446.36157,0.32715008,514.86383,6263999.0
529.69934,0.6710254,463.4275,6269333.5
499.88672,0.67520523,468.0252,6264496.0
497.6766,0.6726019,468.27887,6277114.5
512.2072,0.42460343,447.60614,6329568.5
508.87137,0.44778195,420.88422,6292193.5
439.14795,0.68814445,476.51672,6276622.5
467.84872,0.45491886,458.24612,6274927.0
462.57077,0.4874897,447.43347,6293784.5
464.8895,0.47355825,449.12738,6259531.5
520.2374,0.42696217,433.5718,6294760.0
464.3389,0.69943994,468.77347,6269015.0
477.94223,0.4817192,430.2737,6296555.5
494.653,0.3986404,467.90594,6277777.5
457.96298,0.70544297,468.57352,6277212.0
472.13712,0.43953747,463.47787,6277659.5
474.69528,0.7336582,458.8967,6262300.5
422.67618,0.5844602,479.1972,6280180.5
489.27155,0.3149444,505.44528,6261915.5
465.98462,0.68038803,472.85513,6262723.5
586.0333,0.74477464,436.15567,6262012.5
497.27625,0.33103773,495.8086,6256685.5
466.8994,0.43652475,466.74033,6258273.5
447.78806,0.70524055,471.3405,6263559.0
575.14844,0.59232074,479.2134,6260053.0
450.2455,0.44805527,474.62097,6276210.0
497.5718,0.41715026,454.8031,6255848.5
491.10043,0.454666,433.01196,6270644.0
554.6008,0.6596308,461.7539,6268514.0
460.86163,0.4994155,437.48904,6276298.0
549.95886,0.6348712,468.89075,6261198.0
508.78412,0.30684438,504.09964,6306209.0
591.49524,0.7478992,433.87506,6264139.5
486.1852,0.4240052,461.3293,6294692.5
400.00922,0.5836497,482.16925,6260237.5
485.76935,0.44111288,450.3187,6272145.0
544.8515,0.5389997,474.74884,7173552.0
600.17206,0.6052665,382.14786,7115349.0
612.81244,0.60452586,377.26645,7152555.0
597.3247,0.60548174,385.47937,7120462.5
543.8879,0.5354002,473.1607,7157852.5
561.2201,0.64890754,378.3358,7108466.5
559.69257,0.5835756,299.7018,6765692.5
521.3995,0.49257755,467.41028,6805167.0
501.17212,0.48310813,473.93216,6796429.0
624.5478,0.36679018,463.9047,6786594.0
571.7903,0.58467525,268.83636,6773382.5
532.4302,0.57849765,376.42487,6739050.5
483.76437,0.63451415,396.6715,6742662.5
488.42032,0.42439255,491.80026,6734564.0
511.28015,0.36384618,505.8963,6802674.0
508.3912,0.50186884,476.10135,6805125.5
494.74362,0.61426497,401.5321,6733836.5
515.1365,0.60085756,380.1533,6752041.5
587.5278,0.5424153,346.7499,6781189.0
544.5539,0.3886488,482.93698,6781440.0
519.1519,0.47626975,465.5168,6766544.0
565.41144,0.3932995,480.5101,6802700.0
498.82578,0.61725175,393.9253,6762163.5
602.7324,0.25928757,521.8787,6782493.0
523.7203,0.3849746,491.73215,6778098.0
547.3009,0.55998355,383.4819,6740717.0
574.68695,0.5265018,385.1119,6734890.5
514.3387,0.59799373,388.2017,6749938.0
503.41473,0.40899336,490.72458,6773292.0
549.8404,0.50244606,457.74707,6790611.5
579.9064,0.4929382,422.54706,6753056.5
504.9952,0.48035553,469.50513,6772921.5
547.43274,0.4838788,452.66306,6796314.0
521.93964,0.48663634,465.91626,6788375.0
568.19617,0.547827,366.8759,6764996.5
521.87805,0.5965272,389.57098,6779967.0
526.3981,0.5864044,381.94818,6751580.5
553.52405,0.39743593,476.39612,6787520.0
471.94864,0.6512334,397.99274,6739340.5
502.15433,0.6083819,398.74783,6752350.0
494.5863,0.5009311,476.42453,6798471.0
555.5913,0.40203318,472.02185,6752262.0
548.6766,0.48911095,452.7797,6814352.0
516.9888,0.60209084,380.4563,6767939.0
488.6261,0.4541692,486.4682,6802013.0
487.38937,0.623852,404.99774,6742039.0
481.437,0.63051057,405.6239,6735859.5
598.4632,0.53607917,350.5858,6795113.0
551.5509,0.5644959,384.18457,6776151.5
560.04987,0.41540363,468.9963,6805735.5
503.447,0.6083788,392.15155,6743202.5
492.3269,0.47174984,477.54468,6762402.0
485.82516,0.62991196,405.93478,6757004.0
544.60486,0.5605184,391.4819,6746469.0
407.7666,0.7489828,461.40707,8287489.5
412.46948,0.7559157,457.28122,8284588.0
555.9414,0.54027295,481.1183,9281760.0
566.6206,0.5709762,472.17194,9246266.0
569.7324,0.5473852,476.68433,9276026.0
500.06854,0.5976049,490.5789,9299852.0
505.42667,0.5241208,506.86298,9302628.0
498.45084,0.53153807,509.1929,9307127.0
559.7815,0.55094594,479.75882,9274349.0
492.32095,0.50757784,518.53613,9313789.0
564.53076,0.56576324,472.38663,9270025.0
559.61816,0.5416446,480.6563,9268291.0
567.0702,0.5476468,476.7055,9256841.0
565.73145,0.5410172,477.41373,9280482.0
505.22046,0.601283,487.79007,9325274.0
426.61835,0.48849103,546.03,9293244.0
432.47,0.5212143,504.58142,7830687.5
440.2425,0.5380925,501.21103,7836682.0
441.93085,0.52537125,499.29276,7828759.0
429.21313,0.52436346,507.02728,7859138.5
426.9451,0.51949805,509.26297,7822999.0
428.23663,0.5223669,506.82776,7829453.0
439.18988,0.523797,498.95676,7841957.5
434.92273,0.5298851,504.86148,7844294.0
441.30048,0.530955,500.36313,7823685.5
434.4908,0.50871664,499.95776,7827128.5
424.37137,0.5226066,511.32285,7840731.5
476.91772,0.35537463,486.58868,6505978.0
415.6339,0.41581944,495.67963,6508921.5
526.9375,0.82390565,419.64935,6488114.0
452.1467,0.36763653,493.45016,6525594.5
441.15106,0.3967182,487.6636,6483484.5
495.53668,0.33387852,491.6005,6533855.5
488.80743,0.36100364,480.69278,6532380.5
458.84793,0.69395655,458.1919,6505032.5
416.05032,0.41299644,496.13455,6485302.5
486.72223,0.35874224,481.4096,6490406.5
468.64114,0.42675644,461.44714,6486995.0
366.93323,0.52767134,501.3574,6490638.0
551.10846,0.7045284,438.97052,6489527.0
466.49988,0.7066967,453.05435,6520355.0
434.79892,0.38875297,493.78226,6503354.5
464.39102,0.6885174,457.78998,6532066.0
445.37604,0.38340142,490.1438,6494075.0
470.98203,0.687874,457.21567,6508959.5
423.85873,0.40985116,493.14737,6496855.5
475.36978,0.3617667,485.8594,6535957.5
509.16556,0.40799475,448.01135,6499948.5
407.755,0.43126065,496.13425,6499857.5
433.58224,0.38217303,497.48532,6522445.5
406.70206,0.43020573,497.21445,6525037.0
458.11453,0.3573973,495.52832,6541031.5
379.06003,0.44959524,509.07452,6497937.0
452.09674,0.38648993,485.92065,6492235.0
433.7475,0.40017942,491.09595,6513674.0
420.4315,0.72572255,460.34207,6504443.0
522.7338,0.32549655,484.31567,6507119.0
458.23083,0.70127827,456.87082,6499350.0
475.03458,0.67713606,458.84186,6494608.5
460.7224,0.37721166,484.99472,6491138.0
446.41623,0.38253182,490.19702,6505673.0
385.74045,0.4466327,505.47763,6490115.0
481.34097,0.689322,455.31467,6509523.5
486.05496,0.3519856,484.2575,6491253.0
487.1331,0.6751798,457.78818,6520519.5
470.63565,0.6855715,457.19708,6515535.0
460.7318,0.38521153,482.11923,6505461.5
436.6737,0.3821482,494.8756,6498586.0
441.75797,0.7585345,449.31055,6488565.0
428.42612,0.40095243,493.1821,6505820.5
419.71893,0.38591042,502.89014,6509994.0
475.38892,0.3615751,486.052,6543654.5
412.56464,0.71154755,465.1126,6498654.5
419.11533,0.7169355,462.64774,6496138.5
486.09433,0.6686114,460.0318,6502560.0
476.7915,0.68698776,456.86246,6530180.5
406.8606,0.3945052,507.86282,6512380.0
438.74612,0.38226587,494.5451,6510845.5
456.12894,0.36852002,491.91565,6530015.0
475.49652,0.36464706,482.93854,6485999.5
498.60773,0.35459182,478.67178,6514365.0
459.28683,0.69769126,456.45627,6527065.0
480.7455,0.64939797,464.82025,6513718.0
493.67734,0.35274902,481.66595,6521350.5
504.7868,0.36051044,472.6801,6497568.0
503.7002,0.35468072,476.23865,6508744.5
412.89014,0.42175257,495.40283,6501975.5
408.9659,0.41902962,498.70044,6485894.0
527.94635,0.3691229,459.10214,6487240.5
448.72586,0.37280053,492.6524,6499893.0
474.92017,0.6944215,454.939,6521014.0
371.91507,0.5534178,494.27267,6487596.0
476.63992,0.3641619,484.2607,6536259.0
441.3784,0.38695106,490.68198,6486026.0
452.7936,0.73973036,449.95203,6493482.0
464.67987,0.3721872,486.60864,6536931.5
457.61154,0.3627668,493.31128,6537290.5
431.72217,0.3984464,492.53064,6491731.5
434.21542,0.38595676,496.04456,6514010.0
442.9261,0.3926369,488.59445,6512697.5
409.2479,0.419652,498.39294,6488909.0
436.5633,0.39508834,491.36218,6516006.5
468.5897,0.6972234,455.32718,6505116.5
544.06134,0.3013667,485.04858,6487261.0
549.9358,0.7011938,440.25223,6484095.0
487.20013,0.3554764,481.60785,6492814.0
432.96323,0.7463574,453.6303,6491034.0
531.9598,0.37172267,456.96655,6517156.5
458.6852,0.707308,455.84756,6498495.5
531.6993,0.40661493,435.415,6510338.0
441.45694,0.37215877,496.63477,6515758.5
470.1459,0.6822901,457.6724,6514610.5
415.1254,0.4097421,497.86502,6495831.5
549.68835,0.35222223,456.9415,6490477.0
474.1737,0.361686,486.78122,6524567.0
461.0739,0.71150404,453.67825,6495638.5
467.93762,0.3747015,483.3524,6508398.0
421.78113,0.729098,459.39246,6507427.5
476.4741,0.7396879,444.912,6509167.5
475.7501,0.7026251,452.94162,6506495.0
415.55072,0.42136884,494.2265,6493342.0
617.7998,0.5739641,470.32196,6497232.5
466.0678,0.3564875,491.2152,6519460.5
476.93777,0.67728996,458.1634,6526702.0
433.14206,0.38286287,497.07166,6529090.0
411.18304,0.41993746,496.9434,6487316.0
423.363,0.7194966,461.12173,6496666.5
478.9779,0.41790465,350.84787,6301801.5
552.05334,0.32679418,430.77472,6355107.0
596.19543,0.7177148,427.67218,6285886.5
592.5032,0.7451814,422.17914,6292067.5
401.57266,0.76395965,452.85654,6333560.5
494.02338,0.41381788,326.59415,6305534.0
478.8083,0.6609076,456.47684,6308275.0
481.5604,0.39642295,385.0406,6289200.0
562.307,0.33246297,394.56787,6307304.5
454.97403,0.64714646,464.45905,6289426.5
508.70267,0.3935124,344.697,6308360.5
508.86636,0.39916953,335.03525,6310709.0
455.30878,0.43167734,368.068,6282382.0
581.4194,0.75460935,421.07648,6297526.0
485.6307,0.4022069,370.83362,6298726.5
460.1214,0.43471897,347.31372,6285935.5
443.9132,0.70906633,451.9319,6279490.0
553.0156,0.3392916,411.85495,6352964.5
407.68494,0.76338714,451.42618,6306184.0
491.95853,0.71419364,441.6331,6276598.5
559.46216,0.3306566,413.53613,6326759.5
476.5853,0.4055667,378.37366,6290563.5
453.7538,0.6459625,464.0127,6345166.5
478.38358,0.42626333,334.45343,6306248.0
475.36685,0.4108741,370.30014,6293491.5
602.6787,0.29394215,398.84863,6291086.0
430.7679,0.7842004,440.63342,6294192.0
428.01196,0.7758766,443.35434,6288125.5
546.2381,0.3092467,444.15442,6297115.0
501.8394,0.40572175,332.35422,6309423.5
446.35782,0.6497822,464.3837,6317011.5
426.71838,0.7444693,449.49,6302934.0
551.6274,0.2980786,448.46616,6300869.5
479.33536,0.4233898,330.81766,6297128.0
454.58838,0.76413685,438.24725,6279726.0
541.8313,0.30304202,449.12723,6305175.5
614.5859,0.66318357,438.9107,6287109.0
557.5504,0.331053,400.81473,6300441.0
456.50818,0.66874874,457.85162,6298807.0
423.86948,0.7388437,451.792,6285285.5
592.475,0.73538417,424.2566,6292829.5
486.8839,0.38994592,390.2034,6301015.0
410.23935,0.7943247,445.03217,6294351.0
481.2817,0.4139138,346.88806,6290632.5
607.2221,0.30307335,392.85135,6330571.5
553.451,0.32086125,431.02274,6340317.5
534.67944,0.3186354,437.6754,6289259.0
483.31073,0.42112765,339.80682,6312419.0
556.22784,0.32630125,422.05847,6327856.0
550.7778,0.31243247,435.1217,6298025.0
414.6274,0.75180334,451.82715,6291377.5
454.27975,0.6552876,461.9185,6308356.0
441.1437,0.75720155,443.1375,6286971.5
482.41614,0.41597468,335.19138,6290473.5
563.0987,0.3154396,425.39163,6313736.0
612.532,0.29886404,376.0456,6301612.5
465.75436,0.6575816,459.02975,6333667.5
463.09726,0.66425574,458.40652,6287726.5
488.21667,0.40938473,342.68652,6295875.0
558.22437,0.33687586,402.33585,6339183.5
610.6024,0.2998551,385.6354,6309807.0
499.9828,0.38215673,374.1774,6279448.5
592.0262,0.3246422,376.61487,6337654.5
450.70306,0.64690375,465.06036,6299568.5
577.7608,0.7776588,416.7929,6292254.5
593.21936,0.73886824,423.0616,6289857.5
434.8633,0.7511552,446.32135,6296131.0
516.64026,0.37227082,359.7479,6283478.5
393.29935,0.76615274,455.4105,6306809.5
471.228,0.42888784,343.56918,6299423.5
412.15924,0.75753206,451.33508,6293553.5
557.959,0.31134158,432.20062,6291178.0
396.10425,0.7587296,455.5459,6317526.5
440.09393,0.72701627,448.90445,6309176.5
417.30707,0.7775927,446.5589,6277398.5
486.64966,0.4178715,327.2591,6301680.5
556.2082,0.31036708,435.0185,6295579.5
535.64716,0.33333793,415.20502,6287162.0
461.5866,0.64944404,462.43948,6305821.0
580.5502,0.7572857,420.1719,6282349.0
586.3506,0.28057036,447.8592,6292482.0
462.7837,0.42131582,372.57254,6282471.0
541.54095,0.31704196,430.7556,6287867.5
545.2838,0.33134106,419.80542,6320346.0
418.0745,0.74399185,452.6117,6288565.0
418.7973,0.77808595,446.1455,6276254.5
584.39526,0.7613108,419.5379,6293253.5
